,予約件数,タイトル,出版社,出版日,在架
0,10,PythonでExcel、メール、Webを自動化する本,SBクリエイティブ,2020.9,× 在架なし
1,7,文系でも数式なしのPython×Excelで稼ぐ力を上げる!,かんき出版,2021.1,× 在架なし
2,6,図解!Pythonのツボとコツがゼッタイにわかる本,秀和システム,2021.4,× 在架なし
3,5,動かして学ぶ!Pythonサーバレスアプリ開発入門,翔泳社,2021.6,× 在架なし
4,5,RとPythonで学ぶ統計学入門,オーム社,2021.5,× 在架なし
5,5,PythonでかなえるExcel作業効率化,技術評論社,2020.8,× 在架なし
6,5,Pythonで儲かるAIをつくる,日経BP,2020.8,× 在架なし
7,5,いろんなことを試して学ぶ!Pythonプログラミング,日経BP,2021.4,× 在架なし
8,3,Pythonコードレシピ集,技術評論社,2021.2,× 在架なし
9,3,現場ですぐに使える!Pythonプログラミング逆引き大全400の極意,秀和システム,2021.1,× 在架なし
10,3,データサイエンスのための統計学入門,オライリー・ジャパン,2020.11,× 在架なし
11,3,仕事を自動化する!Python入門講座,ソーテック社,2020.6,× 在架なし
12,2,Pythonによるスクレイピング&機械学習開発テクニック,ソシム,2019.1,× 在架なし
13,2,RとPythonで学ぶ実践的データサイエンス&機械学習,技術評論社,2021.5,× 在架なし
14,1,実践力を身につけるPythonの教科書,マイナビ出版,2016.10,× 在架なし
15,1,Pythonで学ぶ線形代数学,オーム社,2020.4,× 在架なし
16,1,Pythonクローリング&スクレイピング,技術評論社,2019.8,× 在架なし
17,1,Python機械学習プログラミング,インプレス,2020.10,× 在架なし
18,0,PythonユーザのためのJupyter<実践>入門,技術評論社,2017.9,× 在架なし
19,0,たった1日で基本が身に付く!Python超入門,技術評論社,2017.8,× 在架なし
20,0,Fluent Python,オライリー・ジャパン,2017.10,○ 在架あり
21,0,プログラミングROS,オライリー・ジャパン,2017.12,○ 在架あり
22,0,逆引きPython標準ライブラリ,インプレス,2018.2,× 在架なし
23,0,Pythonの絵本,翔泳社,2018.2,× 在架なし
24,0,スラスラわかるPython,翔泳社,2017.8,○ 在架あり
25,0,PythonとKerasによるディープラーニング,マイナビ出版,2018.5,○ 在架あり
26,0,実践Deep Learning,オライリー・ジャパン,2018.4,○ 在架あり
27,0,Pythonスタートブック,技術評論社,2018.4,× 在架なし
28,0,TensorFlow機械学習クックブック,インプレス,2017.8,○ 在架あり
29,0,機械学習(マシンラーニング)と深層学習(ディープラーニング),オーム社,2018.5,○ 在架あり
30,0,スラスラ読めるPythonふりがなプログラミング,インプレス,2018.6,○ 在架あり
31,0,3ステップでしっかり学ぶPython入門,技術評論社,2018.6,× 在架なし
32,0,Pythonで体験してわかるアルゴリズムとデータ構造,近代科学社,2018.6,× 在架なし
33,0,直感Deep Learning,オライリー・ジャパン,2018.8,○ 在架あり
34,0,Pythonによる深層強化学習入門,オーム社,2018.8,○ 在架あり
35,0,Python言語によるプログラミングイントロダクション,近代科学社,2017.8,× 在架なし
36,0,世界でいちばん簡単なPythonプログラミングのe本,秀和システム,2017.3,○ 在架あり
37,0,退屈なことはPythonにやらせよう,オライリー・ジャパン,2017.6,○ 在架あり
38,0,Pythonによる機械学習入門,オーム社,2016.11,○ 在架あり
39,0,15時間でわかるPython集中講座,技術評論社,2016.2,× 在架なし
40,0,Python機械学習プログラミング,インプレス,2016.7,○ 在架あり
41,0,Pythonで体験する深層学習,コロナ社,2016.8,○ 在架あり
42,0,行列プログラマー,オライリー・ジャパン,2016.9,○ 在架あり
43,0,ゼロから作るDeep Learning,オライリー・ジャパン,2016.9,○ 在架あり
44,0,科学技術計算のためのPython入門,技術評論社,2016.10,○ 在架あり
45,0,しんせつなPython,秀和システム,2016.10,○ 在架あり
46,0,Pythonプログラミングパーフェクトマスター,秀和システム,2016.11,× 在架なし
47,0,はじめてのPythonAIプログラミング,秀和システム,2016.11,× 在架なし
48,0,Pythonではじめる機械学習,オライリー・ジャパン,2017.5,○ 在架あり
49,0,Pythonプログラミングのツボとコツがゼッタイにわかる本,秀和システム,2016.12,× 在架なし
50,0,ゼロからはじめるデータサイエンス,オライリー・ジャパン,2017.1,○ 在架あり
51,0,はじめての深層学習(ディープラーニング)プログラミング,技術評論社,2017.1,○ 在架あり
52,0,Pythonクローリング&スクレイピング,技術評論社,2017.1,× 在架なし
53,0,みんなのPython,SBクリエイティブ,2017.1,○ 在架あり
54,0,Python機械学習クックブック,オライリー・ジャパン,2018.12,○ 在架あり
55,0,いちばんやさしいPython入門教室,ソーテック社,2017.4,× 在架なし
56,0,Pythonではじめるデータラングリング,オライリー・ジャパン,2017.4,○ 在架あり
57,0,入門者のPython,講談社,2018.9,○ 在架あり
58,0,いちばんやさしいPython機械学習の教本,インプレス,2019.6,× 在架なし
59,0,Pythonで学ぶ強化学習,講談社,2019.1,○ 在架あり
60,0,世界でいちばん簡単なPythonプログラミングのe本,秀和システム,2020.6,○ 在架あり
61,0,Effective Python,オライリー・ジャパン,2020.7,○ 在架あり
62,0,いちばんやさしいPythonの教本,インプレス,2020.8,○ 在架あり
63,0,Pythonで学ぶ音源分離,インプレス,2020.8,○ 在架あり
64,0,実践Pythonによるデータベース入門,コロナ社,2020.8,○ 在架あり
65,0,マーケティング・パイソン,インプレス,2020.9,× 在架なし
66,0,PythonユーザのためのJupyter<実践>入門,技術評論社,2020.9,× 在架なし
67,0,スッキリわかるPythonによる機械学習入門,インプレス,2020.10,× 在架なし
68,0,なんでもPYTHONプログラミング,技術評論社,2020.10,○ 在架あり
69,0,Pythonで学ぶ流体力学の数値計算法,オーム社,2020.10,○ 在架あり
70,0,ゼロから学ぶPythonプログラミング,講談社,2020.12,× 在架なし
71,0,Pythonプログラミングパーフェクトマスター,秀和システム,2020.12,× 在架なし
72,0,Pythonでつくるゲームプログラミング入門,秀和システム,2020.12,× 在架なし
73,0,プログラマを育てる脳トレパズル,翔泳社,2020.12,○ 在架あり
74,0,Python<完全>入門,SBクリエイティブ,2021.1,× 在架なし
75,0,I/O,工学社,2021.02.01,○ 在架あり
76,0,入門サイバーセキュリティ理論と実験,コロナ社,2021.3,○ 在架あり
77,0,入門Python 3,オライリー・ジャパン,2021.3,○ 在架あり
78,0,ITエンジニアのための強化学習理論入門,技術評論社,2020.7,○ 在架あり
79,0,Pythonプログラミングパーフェクトマスター,秀和システム,2020.4,○ 在架あり
80,0,機械学習のための特徴量エンジニアリング,オライリー・ジャパン,2019.2,○ 在架あり
81,0,ゼロからはじめるデータサイエンス,オライリー・ジャパン,2020.4,○ 在架あり
82,0,RとPythonで学ぶ実践的データサイエンス&機械学習,技術評論社,2019.4,× 在架なし
83,0,AIプログラマになれる本,日経BP社,2019.4,○ 在架あり
84,0,IPythonデータサイエンスクックブック,オライリー・ジャパン,2019.5,○ 在架あり
85,0,新・明解Python入門,SBクリエイティブ,2019.5,○ 在架あり
86,0,スッキリわかるPython入門,インプレス,2019.6,○ 在架あり
87,0,ビジネスPython超入門,日経BP,2019.6,○ 在架あり
88,0,日経NETWORK,日経BP,2019.09.28,○ 在架あり
89,0,Excel×Python最速仕事術,日経BP,2019.11,× 在架なし
90,0,Pythonで学ぶアルゴリズムとデータ構造,講談社,2019.11,○ 在架あり
91,0,動かして学ぶ!Python Django開発入門,翔泳社,2019.12,○ 在架あり
92,0,新・明解Pythonで学ぶアルゴリズムとデータ構造,SBクリエイティブ,2020.1,○ 在架あり
93,0,日経NETWORK,日経BP,2020.01.28,○ 在架あり
94,0,Pythonではじめるアルゴリズム入門,翔泳社,2020.1,× 在架なし
95,0,Python実践入門,技術評論社,2020.2,○ 在架あり
96,0,Pythonでつくる対話システム,オーム社,2020.2,○ 在架あり
97,0,1週間でPythonの基礎が学べる本,インプレス,2020.3,○ 在架あり
98,0,図解!Pythonのツボとコツがゼッタイにわかる本,秀和システム,2020.3,○ 在架あり
99,0,Effective Python,オライリー・ジャパン,2016.1,○ 在架あり
