,予約件数,タイトル,出版社,出版日,在架
0,27,日経WOMAN,日経BP,2021.05.07,× 在架なし
1,18,先生、お金持ちになるにはどうしたらいいですか?,ダイヤモンド社,2021.3,× 在架なし
2,17,マネー大全,晋遊舎,2021.4,× 在架なし
3,14,スッキリ家事でお金を貯める!,小学館,2021.3,× 在架なし
4,13,サンキュ！,ベネッセ　コーポレーション,2021.06.25,× 在架なし
5,12,14歳の自分に伝えたい「お金の話」,マガジンハウス,2021.5,× 在架なし
6,11,「サラリーマン女子」、定年後に備える。,日経BP,2021.6,× 在架なし
7,6,お金か人生か,ダイヤモンド社,2021.5,× 在架なし
8,4,お金の減らし方,SBクリエイティブ,2021.4,× 在架なし
9,3,親や配偶者が死んだあとの「お金」のことぜんぶ、本音で教えてください!,ソシム,2021.7,× 在架なし
10,3,誰も教えてくれないお金と経済のしくみ,あさ出版,2021.5,× 在架なし
11,1,戦のねだん,コスミック出版,2021.6,× 在架なし
12,1,中学生から知っておきたい!悪い大人にお金をだまし取られない全知識,主婦の友社,2021.3,× 在架なし
13,1,リモート経理完全マニュアル,ダイヤモンド社,2021.3,× 在架なし
14,0,婦人公論,中央公論新社,2021.04.13,○ 在架あり
15,0,月刊ハウジング by SUUMO,リクルート,2021.04.21,○ 在架あり
16,0,ひよこクラブ,ベネッセコーポレーション,2021.04.15,○ 在架あり
17,0,JiCA　MAGAZINE,国際協力機構,2021.04.01,○ 在架あり
18,0,財界,財界研究所,2021.05.26,○ 在架あり
19,0,すぐにもらえるお金と使えるサービス,自由国民社,2021.3,○ 在架あり
